FFMC,DMC,DC,ISI,temperature,humidity,wind,rain
78.6,163.18,467.5,1.24,33.75,61.47,5.97,0.75
34.2,36.83,730.0,1.76,15.35,83.95,8.47,2.68
42.6,31.57,389.9,1.74,27.25,66.66,8.36,3.58
82.0,209.48,564.5,1.86,28.05,33.84,8.92,0.04
22.8,144.97,408.4,0.58,29.41,56.27,2.81,4.48
85.4,13.11,631.0,1.46,28.38,69.21,7.02,2.71
66.6,141.95,537.8,0.55,16.61,80.66,2.65,0.52
32.0,278.42,668.4,0.9,29.23,83.09,4.34,4.01
50.2,130.91,560.1,0.95,28.84,87.13,4.59,0.26
77.5,256.16,604.6,1.29,39.88,36.58,6.22,3.27
94.0,176.9,229.2,1.59,22.67,89.34,7.63,4.88
56.7,125.48,646.7,0.68,27.78,75.51,3.27,2.82
49.5,128.25,399.9,0.67,20.48,84.21,3.21,6.31
68.0,29.16,112.4,1.89,30.35,37.69,9.1,2.8
70.4,61.21,34.9,0.89,34.74,62.44,4.27,4.04
42.1,12.99,346.1,0.66,26.74,39.73,3.15,0.24
21.6,287.99,577.8,0.22,26.12,35.42,1.05,5.36
83.4,187.11,546.5,1.77,17.52,35.55,8.52,5.47
31.3,183.61,796.7,1.68,30.32,93.2,8.09,4.83
35.6,88.32,738.5,0.64,12.19,80.95,3.09,6.06
94.7,207.28,145.9,1.24,38.15,55.18,5.97,3.21
86.2,143.74,161.9,0.58,31.34,31.01,2.81,4.57
26.1,58.81,558.5,0.9,15.62,36.26,4.32,4.38
83.8,120.84,690.5,1.37,14.7,45.87,6.59,2.29
91.2,173.47,699.3,1.22,17.72,87.2,5.85,0.71
41.3,2.91,465.9,0.84,35.11,98.41,4.06,5.41
60.8,282.59,442.7,1.44,17.88,31.78,6.94,5.46
95.9,86.8,299.2,0.68,20.63,60.96,3.26,3.03
30.2,33.35,280.5,0.23,11.41,84.12,1.1,3.6
70.0,77.72,585.7,1.51,17.78,56.09,7.28,6.14
74.7,249.07,546.7,0.41,16.16,71.17,1.97,4.15
92.7,241.96,437.0,0.14,12.69,41.44,0.66,0.91
36.8,290.43,433.4,0.27,13.08,51.68,1.31,5.6
89.3,55.02,145.0,1.93,30.26,53.64,9.26,3.72
22.0,208.68,806.3,0.19,33.56,56.81,0.92,1.39
83.5,205.78,580.3,1.24,13.12,42.88,5.94,1.58
89.5,88.39,720.9,1.12,14.6,52.28,5.37,4.33
19.5,139.3,485.2,0.62,31.05,59.28,2.98,4.17
30.1,117.44,725.3,0.35,19.47,79.14,1.69,2.05
48.8,144.74,194.8,1.63,12.82,34.39,7.86,1.67
37.3,51.46,400.6,0.95,21.1,53.14,4.59,3.01
76.8,61.11,479.7,0.68,11.66,99.84,3.25,3.42
43.5,217.88,501.6,0.84,31.64,97.29,4.02,4.48
69.7,280.3,779.7,1.25,37.09,54.03,6.02,3.21
90.5,228.45,809.2,0.82,20.54,54.69,3.95,2.19
62.6,284.59,619.8,1.81,37.55,44.39,8.69,1.2
45.6,112.51,285.8,0.58,26.01,81.18,2.8,3.42
76.3,2.71,264.7,1.93,15.94,52.82,9.26,4.05
23.3,290.41,580.7,1.55,12.36,41.56,7.45,3.59
83.2,137.72,427.5,1.28,32.45,98.49,6.13,1.29
38.7,69.17,442.9,0.78,31.21,37.02,3.73,1.81
43.6,252.11,574.9,1.42,18.11,33.78,6.83,0.49
26.6,94.89,423.7,0.77,12.39,47.17,3.69,4.43
25.0,178.36,232.5,0.11,28.24,66.15,0.54,2.86
59.9,240.64,417.5,0.84,21.61,97.9,4.05,1.3
92.5,289.68,480.9,0.87,17.52,35.8,4.18,1.93
89.1,260.21,12.1,0.35,39.97,45.79,1.69,3.52
77.8,51.73,269.6,0.44,21.89,46.76,2.11,1.17
73.6,151.9,310.9,1.42,26.32,67.45,6.84,0.57
30.1,127.33,297.6,0.8,37.53,36.57,3.85,4.76
61.1,84.82,517.7,1.92,31.01,88.19,9.24,0.49
68.9,160.73,439.6,1.94,17.8,39.39,9.31,4.73
61.2,53.53,295.8,1.89,25.51,97.42,9.09,2.75
75.3,99.07,93.2,1.58,15.29,87.49,7.62,3.22
59.2,93.92,840.1,0.52,32.91,48.59,2.5,1.64
76.3,175.1,585.5,1.1,14.57,63.35,5.29,2.61
20.7,260.65,628.9,1.54,18.26,92.69,7.38,2.79
55.3,234.67,57.3,0.82,11.75,99.76,3.93,3.88
94.3,153.36,671.5,0.79,17.56,64.5,3.78,3.09
80.1,209.73,394.6,1.22,14.2,44.69,5.88,3.79
31.5,284.29,307.4,0.83,12.23,69.27,3.98,1.24
95.8,3.49,565.4,1.05,28.85,34.93,5.06,0.5
86.1,70.5,822.3,0.19,34.56,30.39,0.92,2.27
71.4,19.22,391.4,1.45,39.02,85.3,6.97,2.26
81.1,23.62,837.5,1.41,20.93,59.69,6.79,6.21
36.1,285.78,121.7,0.81,25.43,87.05,3.91,1.07
30.3,183.36,719.7,1.75,30.15,91.63,8.39,3.46
20.7,291.03,699.8,1.27,36.39,98.87,6.12,1.87
94.0,184.29,448.9,0.51,14.39,64.17,2.45,0.95
50.6,51.17,394.1,0.24,35.14,86.74,1.13,1.43
78.4,203.1,137.1,1.92,20.42,83.8,9.22,1.43
34.1,185.65,485.2,0.96,32.07,67.53,4.6,2.81
40.9,65.78,639.6,0.85,11.31,39.08,4.08,3.42
20.7,137.98,202.1,1.35,38.33,55.0,6.48,5.24
45.7,151.49,158.5,0.21,18.03,32.5,1.03,2.66
79.1,178.01,558.0,0.67,11.58,96.92,3.24,2.08
67.0,8.97,156.0,1.41,21.48,69.27,6.8,1.64
55.8,122.4,407.2,0.61,11.46,30.99,2.94,2.42
85.8,24.76,207.5,0.71,30.65,49.74,3.43,0.42
38.5,280.52,311.5,0.9,10.87,33.37,4.31,3.26
27.3,126.47,271.4,0.23,21.07,87.47,1.12,0.1
95.2,43.76,674.3,1.37,26.12,37.03,6.6,0.66
40.7,10.0,210.3,0.81,20.67,56.66,3.88,0.62
39.4,219.53,813.3,0.73,32.31,37.33,3.49,0.75
74.0,175.24,533.3,0.27,18.17,33.33,1.29,5.15
24.4,32.82,255.4,1.27,34.2,78.63,6.11,5.5
78.9,76.05,661.8,1.47,19.75,47.62,7.05,5.37
50.8,202.64,187.2,0.64,38.1,73.64,3.1,2.02
45.0,229.91,214.2,1.5,12.17,93.23,7.23,0.81
72.9,120.64,236.7,1.17,21.61,56.65,5.62,4.68
51.6,115.89,783.0,0.55,36.17,39.42,2.63,5.7
60.0,62.27,11.7,0.87,23.74,30.56,4.17,0.63
90.9,58.09,240.4,0.5,14.2,82.72,2.4,1.76
60.6,209.53,274.3,0.85,12.09,71.69,4.08,2.9
60.0,218.65,652.4,0.35,29.91,80.69,1.67,5.79
58.1,68.49,503.2,1.84,32.88,67.68,8.86,5.16
39.2,274.12,365.2,1.38,22.1,71.71,6.65,1.04
35.4,32.11,852.6,1.45,34.04,79.03,6.98,5.44
44.1,209.63,410.5,0.82,19.33,32.62,3.96,5.27
51.0,269.99,730.8,1.06,17.86,68.95,5.1,4.89
78.2,267.24,732.1,1.01,26.16,52.25,4.84,0.36
69.1,202.16,124.5,0.67,11.76,77.45,3.2,4.32
25.2,74.66,460.1,1.77,15.72,66.35,8.51,2.04
92.4,29.16,644.7,0.78,24.6,35.83,3.74,5.85
24.6,275.03,384.3,1.73,18.57,30.49,8.3,3.98
86.9,44.94,465.2,1.5,29.29,35.38,7.19,1.85
67.2,207.19,384.5,0.94,15.81,80.59,4.54,1.88
81.9,252.58,512.9,0.63,35.85,80.76,3.04,1.37
19.7,178.86,171.7,1.18,32.71,54.92,5.66,3.18
84.0,23.51,342.7,1.21,34.71,78.15,5.84,4.65
19.9,162.33,670.7,1.56,22.68,82.74,7.48,5.86
47.3,285.1,469.7,1.21,25.07,73.23,5.83,4.58
34.0,73.85,459.3,1.08,27.57,99.1,5.2,1.39
37.9,9.93,481.8,0.61,28.76,59.61,2.93,0.57
61.5,203.54,191.9,0.1,15.7,94.05,0.5,6.39
39.5,51.38,136.4,0.74,36.36,99.09,3.58,4.77
41.5,60.97,452.4,0.58,33.47,67.19,2.77,4.54
52.7,258.23,363.6,1.88,25.48,65.51,9.02,0.5
22.6,65.58,221.7,0.7,28.2,60.93,3.36,5.31
38.4,136.33,385.8,0.62,39.33,96.66,3.0,5.1
42.4,250.26,625.5,0.87,30.88,51.08,4.17,1.12
83.6,142.89,157.1,1.76,37.65,39.78,8.44,6.23
75.4,181.75,789.8,1.11,13.91,42.3,5.32,5.55
32.6,223.44,727.3,0.92,16.36,47.96,4.4,0.51
81.9,289.85,817.5,1.1,28.18,82.78,5.29,5.36
58.2,81.42,852.6,1.12,17.25,78.55,5.38,4.42
61.5,6.21,471.8,1.64,15.77,77.52,7.89,0.29
32.5,133.3,807.4,1.29,13.72,73.61,6.21,3.51
68.7,148.5,236.1,1.06,28.75,89.49,5.1,3.43
52.5,111.19,190.1,0.7,34.14,75.15,3.37,1.62
71.0,282.39,712.4,0.41,20.57,48.74,1.99,1.07
73.0,124.87,763.6,1.04,12.58,70.37,4.99,3.09
40.2,189.75,243.9,0.97,31.73,48.62,4.65,2.48
20.9,31.14,251.0,0.29,31.84,32.96,1.4,0.71
37.2,272.03,497.8,0.39,26.82,56.08,1.86,1.81
31.2,87.31,528.9,1.94,15.42,92.93,9.32,6.31
86.3,215.33,800.1,0.87,21.74,82.4,4.16,0.25
75.2,26.86,808.8,1.48,10.89,77.33,7.13,1.49
38.6,218.32,98.0,1.17,24.6,36.35,5.62,1.66
55.2,120.38,720.1,0.38,21.88,46.06,1.81,5.2
57.3,242.14,68.9,1.67,18.94,41.0,8.02,1.0
79.4,16.27,348.8,1.6,29.11,66.89,7.7,1.72
30.7,145.07,819.1,0.34,22.25,58.3,1.65,3.51
80.5,200.62,306.1,0.46,21.84,84.57,2.21,1.89
23.1,273.54,91.2,1.92,21.2,56.23,9.22,5.59
62.7,14.54,825.2,1.57,12.75,84.15,7.53,1.08
30.4,40.67,657.1,0.99,38.16,41.3,4.78,0.92
53.3,290.45,263.7,1.63,22.13,49.05,7.86,3.88
30.3,76.89,414.7,1.77,28.25,70.18,8.5,2.08
38.9,152.19,498.2,0.68,11.25,97.5,3.27,0.69
75.0,169.68,381.6,1.91,26.01,44.02,9.18,4.47
62.8,21.32,359.9,1.5,18.29,90.73,7.23,4.33
33.0,4.8,264.4,1.84,16.57,35.14,8.85,5.98
22.1,145.58,300.6,0.43,23.95,63.88,2.09,2.98
40.5,74.04,512.0,1.47,38.21,95.96,7.06,4.94
21.7,221.45,667.2,1.26,33.35,86.27,6.04,0.56
20.6,47.56,95.2,1.65,23.97,48.2,7.94,1.05
40.6,75.68,729.4,0.37,39.58,71.25,1.78,2.89
54.6,54.67,15.0,0.63,29.86,64.7,3.03,1.29
27.4,198.14,250.3,1.61,35.83,51.05,7.74,2.34
78.5,129.92,192.0,0.93,12.18,96.1,4.45,1.79
38.7,287.55,672.9,1.76,25.75,86.42,8.44,2.97
61.1,56.62,729.9,0.97,10.79,63.44,4.64,6.4
47.0,251.12,254.5,0.24,18.32,66.67,1.13,2.74
95.6,107.64,773.4,0.73,26.2,55.41,3.49,4.23
36.4,74.82,119.8,1.73,27.45,55.85,8.34,1.8
85.3,131.0,772.1,1.01,29.74,77.98,4.87,0.39
56.7,1.26,655.6,1.37,18.83,38.21,6.58,5.04
25.0,60.42,593.4,1.25,25.53,96.56,6.01,2.64
53.1,80.94,270.0,1.84,39.88,73.92,8.86,4.21
53.5,237.45,73.2,0.88,17.79,44.79,4.24,0.33
61.6,255.79,560.7,0.55,29.78,35.92,2.65,0.61
